PROVIDUS BANK
0215,CORPORATE BRANCH
,,,,

Customer Name,SANITIZED COMPANY LIMITED
Account Number,0215/********/001/0013/000
NUBAN Number,******2534
Account Type,CURR.A/C -LOCAL CORPORATE - NAIRA
Account Nickname,SANITIZED COMPANY LIMITED CURRENT NGN
Statement of Account For  The Period From Date 01/04/2026 To Date 03/06/2026

,Transaction Description,All,Transaction Type,All
,Number of Debit Transaction(s),388,Number of Credit Transaction(s),11
,Total Debit Amount,"48,574,497.94",Total Credit Amount,"47,425,207.50"
,"Period Opening Balance ","1,288,486.27","Period Closing Balance ","139,195.83"


Transaction Date,Actual Transaction Date,Transaction Details,Value Date,Debit Amount,Credit Amount,Current Balance,DR/CR,DOC-NUM
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 168,28/04/2026,50.00,,"1,131,855.05",,DOC-0168
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 169,28/04/2026,1.88,,"1,131,853.17",,DOC-0169
29/04/2026,29/04/2026,SANITIZED DEBIT TRANSACTION 170,29/04/2026,"8,500.00",,"1,123,353.17",,DOC-0170
29/04/2026,29/04/2026,SANITIZED DEBIT TRANSACTION 171,29/04/2026,"224,906.70",,"898,446.47",,DOC-0171
30/04/2026,30/04/2026,SANITIZED DEBIT TRANSACTION 172,30/04/2026,"14,319.28",,"884,127.19",,DOC-0172
30/04/2026,30/04/2026,SANITIZED DEBIT TRANSACTION 173,30/04/2026,"82,501.73",,"801,625.46",,DOC-0173
30/04/2026,01/05/2026,SANITIZED DEBIT TRANSACTION 174,30/04/2026,642.00,,"800,983.46",,DOC-0174
30/04/2026,01/05/2026,SANITIZED DEBIT TRANSACTION 175,30/04/2026,"24,460.32",,"776,523.14",,DOC-0175
30/04/2026,01/05/2026,SANITIZED DEBIT TRANSACTION 176,30/04/2026,"1,834.52",,"774,688.62",,DOC-0176
01/05/2026,01/05/2026,SANITIZED DEBIT TRANSACTION 177,01/05/2026,"10,556.88",,"764,131.74",,DOC-0177
